Treatment,Cell,CL1,CL2,CL3,CL4,CL5,CL6,G1mm,G1%,G2mm,G2%,G3mm,G3%,G4mm,G4%,G5mm,G5%,G1-5mm,G1-5%,G1-4,G1-4%
Control,29,2.205165,2.545916,2.782665,3.29211,3.785178,4.37154,0.340751,0.1545240378837865,0.2367490000000001,0.09299167765158006,0.5094449999999999,0.18307809240422396,0.49306800000000006,0.14977263821682751,0.5863620000000003,0.15491002008359983,1.5800130000000001,0.716505567610587,1.086945,0.49290869390725867
Control,26,2.102687,2.481813,2.540798,2.89388,3.237319,3.988654,0.37912599999999985,0.18030548531474244,0.05898500000000029,0.023766899440046566,0.3530819999999997,0.1389650023339123,0.34343900000000005,0.11867769223326471,0.7513350000000001,0.23208556215806972,1.1346319999999999,0.53961050788824,0.7911929999999998,0.3762771158997986
Control,23,2.123683,2.53051,2.712881,3.156461,3.461618,3.976804,0.4068269999999998,0.19156672629577945,0.18237099999999984,0.07206887149230781,0.4435800000000003,0.16350883064904076,0.3051569999999999,0.09667694294337864,0.5151859999999999,0.14882809137230044,1.3379349999999999,0.6300069266458317,1.032778,0.48631457708141934
Control,12,2.084384,2.44343,2.612919,2.762297,3.242071,3.858947,0.3590460000000002,0.17225520825337376,0.169489,0.06936519564710263,0.14937799999999957,0.05716901289324298,0.47977400000000037,0.173686609368942,0.616876,0.1902722056364589,1.1576870000000001,0.5554096558023858,0.6779129999999998,0.325234217879239
7.8,1,2.245927,2.598852,2.682257,2.915255,3.31316,3.811812,0.35292499999999993,0.1571400139007189,0.08340499999999995,0.03209301645495779,0.23299800000000026,0.08686639647133003,0.39790499999999973,0.13649063289489247,0.4986520000000003,0.1505064651269484,1.0672329999999999,0.4751859699803243,0.6693280000000001,0.29801859098715144
Control,13,2.109995,2.506533,2.566951,2.817216,3.172993,3.785933,0.39653800000000006,0.1879331467610113,0.06041799999999986,0.02410421087613842,0.2502650000000002,0.09749504373086988,0.3557769999999998,0.12628673129784856,0.61294,0.19317407885866753,1.0629979999999999,0.5037917151462443,0.7072210000000001,0.3351766236412883
Control,30,2.098686,2.468721,2.609801,2.948749,3.287557,3.754627,0.3700350000000001,0.17631746721520045,0.1410800000000001,0.05714700041033397,0.3389479999999998,0.12987503644913914,0.3388080000000002,0.11489889441251196,0.4670700000000001,0.1420720614121672,1.1888710000000002,0.5664835044403976,0.850063,0.4050453474221489
7.8,29,2.031859,2.278834,2.420463,2.480942,3.122507,3.711326,0.24697499999999994,0.12155124937311101,0.141629,0.06214976606457514,0.060479000000000394,0.024986541831046538,0.6415649999999999,0.2585973392364674,0.588819,0.18857251561005306,1.0906480000000003,0.5367734670565233,0.44908300000000034,0.2210207499634573
Control,28,2.059222,2.42816,2.624605,2.977914,3.1645,3.610861,0.368938,0.17916378127273308,0.19644499999999976,0.08090282353716384,0.3533090000000003,0.13461416098803453,0.1865859999999997,0.06265661130576627,0.446361,0.14105261494706905,1.1052779999999998,0.536745431041432,0.9186920000000001,0.4461354822355239
Control,8,2.064142,2.373198,2.601025,2.735165,3.027613,3.485172,0.309056,0.1497261331826977,0.227827,0.09599999662902127,0.13413999999999993,0.05157197643236798,0.29244800000000026,0.1069215202739141,0.4575589999999998,0.1511286283947122,0.9634710000000002,0.4667658523493055,0.6710229999999999,0.32508567724507326
7.8,22,2.143078,2.490016,,2.852497,3.000091,3.463897,0.34693799999999975,0.16188771477286396,,,,,0.14759399999999978,0.0517420351362332,0.46380599999999994,0.15459731054824669,0.8570129999999998,0.3998981838271868,0.709419,0.3310280820390112
7.8,27,2.153283,2.530462,2.688673,2.913019,,,0.37717899999999993,0.17516462072101063,0.1582110000000001,0.0625225749290051,0.2243459999999997,0.08344116223876973,,,,,,,0.7597359999999997,0.35282682304183877
Control,16,2.127598,2.280384,2.462336,2.707097,3.002077,,0.1527860000000003,0.07181149822475877,0.1819519999999999,0.079790070444276,0.244761,0.0994019500181941,0.2949799999999998,0.10896543419020441,,,0.874479,0.4110170248326987,0.5794990000000002,0.2723724124576166
Control,5,2.171807,2.321057,2.503316,2.705598,3.011784,,0.14925000000000033,0.06872157608848316,0.18225899999999973,0.07852413792509176,0.2022820000000003,0.08080561942639296,0.30618599999999985,0.11316758808958309,,,0.8399770000000002,0.38676410933384053,0.5337910000000003,0.24578196865559435
7.8,14,2.197557,2.513618,2.555549,2.918811,3.035711,,0.3160609999999999,0.1438238007023253,0.04193099999999994,0.016681532356945222,0.36326199999999975,0.14214636463632657,0.11690000000000023,0.040050554832087526,,,0.8381539999999998,0.3814026211834322,0.7212539999999996,0.3282071864347544
Control,22,2.166585,2.493237,2.681095,2.898625,3.098333,,0.32665200000000016,0.15076814433774818,0.18785799999999986,0.07534702878226171,0.21753,0.08113476023788788,0.19970799999999977,0.06889749450170332,,,0.9317479999999998,0.430053748179739,0.73204,0.33787735076168257
Control,10,2.096881,2.357647,2.608885,2.754881,3.13633,,0.26076599999999983,0.12435898842137431,0.25123799999999985,0.10656302661085389,0.14599600000000024,0.055961071492227614,0.3814489999999999,0.13846296809190667,,,1.0394489999999998,0.49571196457977335,0.6579999999999999,0.3137994001567089
7.8,23,2.181544,2.583863,2.689551,2.768192,3.307593,,0.40231899999999987,0.18441938370255187,0.10568799999999978,0.04090309741654251,0.07864100000000018,0.02923945297932636,0.5394009999999998,0.19485678739046997,,,1.1260489999999996,0.5161706571125769,0.5866479999999998,0.2689141268752772
Control,24,2.250797,2.637753,2.872654,3.174496,3.341716,,0.3869560000000001,0.1719195467205617,0.2349009999999998,0.0890534481431733,0.30184200000000017,0.10507426233719765,0.16721999999999992,0.05267607834440488,,,1.090919,0.484681204035726,0.923699,0.4103875205094018
Control,7,2.272315,2.613813,2.783094,3.066526,3.346316,,0.3414980000000001,0.15028638194968572,0.16928100000000024,0.06476400568824175,0.2834319999999999,0.10184061336052605,0.27978999999999976,0.09124005470685713,,,1.074001,0.47264617801669223,0.7942110000000002,0.3495162422463436
Control,6,2.176187,2.671367,2.774774,3.089343,3.378456,,0.49517999999999995,0.227544783605453,0.1034069999999998,0.03870939485289734,0.3145690000000001,0.11336743100519181,0.28911299999999995,0.09358397562200117,,,1.2022689999999998,0.552465849671926,0.9131559999999999,0.41961283658067977
