Treatment,Crab #,Stage,CL ,Date,Exp Day Wet Mass,Wet Mass,Exp Day of Molt,Dday,Intermolt period (Ddays)
pH7.8,1,Initial,2.245927,2010-06-17 00:00:00,0,0.0076,,,
pH7.8,1,1st,2.598852,2010-06-20 00:00:00,10,0.0108,3,26.42,
pH7.8,1,2nd,2.682257,2010-08-16 00:00:00,67,0.0108,60,592.413333,565.993333
pH7.8,1,3rd,2.915255,2010-09-20 00:00:00,102,0.0138,95,984.428381,392.015048
pH7.8,1,4th,3.31316,2010-10-28 00:00:00,140,0.0195,133,1371.268381,386.84000000000015
pH7.8,1,5th,3.811812,2010-12-17 00:00:00,190,0.0293,183,1706.278381,335.01
pH7.8,2,Initial,2.150121,2010-06-17 00:00:00,0,0.0068,,,
pH7.8,2,1st,2.506725,2010-06-19 00:00:00,9,0.0091,2,17.306667,
pH7.8,2,2nd,2.684003,2010-08-16 00:00:00,67,0.0106,60,592.413333,575.106666
pH7.8,2,3rd,2.901627,2010-09-26 00:00:00,108,0.0146,101,1052.478381,460.06504799999993
pH7.8,3,Initial,2.529562,2010-06-17 00:00:00,0,0.0087,,,
pH7.8,3,1st,,2010-08-03 00:00:00,54,0.0087,47,454.853333,
pH7.8,3,2nd,,2010-09-14 00:00:00,96,0.0109,89,914.695048,459.841715
pH7.8,3,3rd,,2010-10-25 00:00:00,137,0.0121,130,1344.938381,430.2433329999999
pH7.8,4,Initial,2.13634,2010-06-17 00:00:00,0,0.0062,,,
pH7.8,5,Initial,2.095461,2010-06-17 00:00:00,0,0.0083,,,
pH7.8,6,Initial,2.094011,2010-06-17 00:00:00,0,0.0066,,,
pH7.8,6,1st,2.397095,2010-06-22 00:00:00,12,0.008,5,45.333333,
pH7.8,6,2nd,2.429394,2010-09-09 00:00:00,91,0.0082,84,856.839333,811.506
pH7.8,6,3rd,2.636856,2010-11-08 00:00:00,151,0.0088,144,1462.718381,605.8790479999999
pH7.8,7,Initial,2.204339,2010-06-17 00:00:00,0,0.0065,,,
pH7.8,7,1st,2.615927,2010-06-18 00:00:00,8,0.0111,1,8.673333,
