Time,Surv,Control,pH7.8,pH7.5
0,30,1,0,0
1,30,1,0,0
2,30,1,0,0
3,30,1,0,0
4,30,1,0,0
5,30,1,0,0
6,30,1,0,0
7,30,1,0,0
8,30,1,0,0
9,30,1,0,0
10,30,1,0,0
11,30,1,0,0
12,30,1,0,0
13,30,1,0,0
14,30,1,0,0
15,30,1,0,0
16,30,1,0,0
17,30,1,0,0
18,30,1,0,0
19,30,1,0,0
20,30,1,0,0
21,30,1,0,0
22,30,1,0,0
23,30,1,0,0
24,30,1,0,0
25,30,1,0,0
26,30,1,0,0
27,30,1,0,0
28,30,1,0,0
29,30,1,0,0
30,30,1,0,0
31,30,1,0,0
32,30,1,0,0
33,30,1,0,0
34,30,1,0,0
35,30,1,0,0
36,30,1,0,0
37,30,1,0,0
38,30,1,0,0
39,30,1,0,0
40,30,1,0,0
41,30,1,0,0
42,30,1,0,0
43,30,1,0,0
44,30,1,0,0
45,30,1,0,0
46,30,1,0,0
47,30,1,0,0
48,30,1,0,0
49,30,1,0,0
50,30,1,0,0
51,30,1,0,0
52,30,1,0,0
53,30,1,0,0
54,30,1,0,0
55,30,1,0,0
56,30,1,0,0
57,29,1,0,0
58,29,1,0,0
59,29,1,0,0
60,29,1,0,0
61,29,1,0,0
62,29,1,0,0
63,29,1,0,0
64,28,1,0,0
65,28,1,0,0
66,28,1,0,0
67,28,1,0,0
68,27,1,0,0
69,27,1,0,0
70,26,1,0,0
71,26,1,0,0
72,24,1,0,0
73,24,1,0,0
74,24,1,0,0
75,24,1,0,0
76,24,1,0,0
77,24,1,0,0
78,24,1,0,0
79,24,1,0,0
80,24,1,0,0
81,24,1,0,0
82,24,1,0,0
83,24,1,0,0
84,24,1,0,0
85,24,1,0,0
86,24,1,0,0
87,24,1,0,0
88,24,1,0,0
89,24,1,0,0
90,24,1,0,0
91,24,1,0,0
92,24,1,0,0
93,24,1,0,0
94,24,1,0,0
95,24,1,0,0
96,24,1,0,0
97,24,1,0,0
98,23,1,0,0
99,23,1,0,0
100,23,1,0,0
101,23,1,0,0
102,23,1,0,0
103,23,1,0,0
104,23,1,0,0
105,23,1,0,0
106,23,1,0,0
107,23,1,0,0
108,23,1,0,0
109,23,1,0,0
110,22,1,0,0
111,21,1,0,0
112,21,1,0,0
113,21,1,0,0
114,21,1,0,0
115,21,1,0,0
116,21,1,0,0
117,21,1,0,0
118,21,1,0,0
119,21,1,0,0
120,21,1,0,0
121,21,1,0,0
122,21,1,0,0
123,21,1,0,0
124,21,1,0,0
125,21,1,0,0
126,21,1,0,0
127,21,1,0,0
128,21,1,0,0
129,21,1,0,0
130,21,1,0,0
131,21,1,0,0
132,21,1,0,0
133,21,1,0,0
134,21,1,0,0
135,21,1,0,0
136,21,1,0,0
137,21,1,0,0
138,21,1,0,0
139,21,1,0,0
140,21,1,0,0
141,21,1,0,0
142,21,1,0,0
143,21,1,0,0
144,19,1,0,0
145,19,1,0,0
146,19,1,0,0
147,19,1,0,0
148,19,1,0,0
149,19,1,0,0
150,19,1,0,0
151,19,1,0,0
152,19,1,0,0
153,19,1,0,0
154,19,1,0,0
155,19,1,0,0
156,19,1,0,0
157,19,1,0,0
158,19,1,0,0
159,19,1,0,0
160,19,1,0,0
161,19,1,0,0
162,19,1,0,0
163,19,1,0,0
164,19,1,0,0
165,19,1,0,0
166,19,1,0,0
167,19,1,0,0
168,19,1,0,0
169,19,1,0,0
170,19,1,0,0
171,19,1,0,0
