Tub,Insert #,Treatment pH,Treatment temp C,Initial CL mm,CL 1 mm,CL 2 mm,CL 3 mm,CL 4 mm,CL 5 mm,End CL mm,% increase initial & CL1,% increase CL1 & CL2,% increase CL2 & CL3,% increase CL3 & CL4,% increase CL4 & CL5
1,1,Ambient,Ambient ,3.111244,,,,,,,,,,,
1,2,Ambient,Ambient ,2.72366,3.70597,3.710492,4.003522,,,4.003522,36.06580850766982,0.1220193363680681,7.897335447698051,,
1,3,Ambient,Ambient ,3.256415,3.73653,3.757648,4.09684,,,4.09684,14.74366749938199,0.5651767816664116,9.02671032518214,,
1,4,Ambient,Ambient ,3.037058,3.766046,3.938524,,,,,24.003097734715627,4.5798166034084655,,,
1,5,Ambient,Ambient ,2.945964,3.328238,3.598175,,,,3.598175,12.976193870665078,8.110507722104012,,,
1,6,Ambient,Ambient ,3.233696,,4.235899,4.724505,,,4.724505,,,11.534883149952345,,
1,7,Ambient,Ambient ,3.141734,3.629021,3.714231,4.00276,,,4.00276,15.51012911977907,2.348016172956839,7.7682028931426315,,
1,8,Ambient,Ambient ,3.105942,3.666402,3.779746,,,,,18.044767094813746,3.091423144543333,,,
1,9,Ambient,Ambient ,2.827654,3.231411,,,,,,14.278868631027706,,,,
1,10,Ambient,Ambient ,3.212016,3.68223,3.956192,3.904331,,,3.904331,14.63921723926655,7.440111019681009,-1.3108817772241628,,
1,11,Ambient,Ambient ,3.162572,3.621694,,,,,,14.51736118576906,,,,
1,12,Ambient,Ambient ,3.247824,4.079521,4.594601,4.58478,,,4.58478,25.607822345053172,12.62599212015333,-0.21375087847670854,,
1,13,Ambient,Ambient ,3.264081,3.876692,4.191433,,,,,18.768253606451548,8.118803350898142,,,
1,14,Ambient,Ambient ,3.308331,3.804314,4.042691,,,,4.042691,14.991940044693239,6.26596542766973,,,
1,15,Ambient,Ambient ,2.512596,3.016516,,,,,3.016516,20.055751103639437,,,,
1,16,Ambient,Ambient ,2.983414,3.711055,,,,,,24.389541645913045,,,,
1,17,Ambient,Ambient ,3.453275,,,,,,,,,,,
1,18,Ambient,Ambient ,3.131971,3.638525,3.959892,4.269024,,,4.269024,16.173649117440743,8.832342776262358,7.806576542996627,,
1,19,Ambient,Ambient ,3.194727,3.859811,4.181061,,,,4.181061,20.8181794563354,8.322946382607842,,,
1,20,Ambient,Ambient ,3.136756,3.482561,3.514517,,,,3.514517,11.024287512321644,0.9176005818706433,,,
1,21,Ambient,Ambient ,3.145785,,,,,,,,,,,
1,22,Ambient,Ambient ,3.029688,3.653405,3.731181,,,,,20.58683930490531,2.12886334802739,,,
1,23,Ambient,Ambient ,3.401075,4.29542,4.673863,,,,,26.295950545048253,8.810384083512202,,,
1,24,Ambient,Ambient ,3.009171,3.653962,,,,,,21.42752937603081,,,,
1,25,Ambient,Ambient ,3.026042,3.368544,,,,,,11.31848136939276,,,,
1,26,Ambient,Ambient ,3.065761,3.641474,3.745835,,,,3.745835,18.778795868301536,2.8658999075649016,,,
1,27,Ambient,Ambient ,3.413789,4.242193,4.477074,4.385465,,,4.385465,24.266408966693618,5.536782508480865,-2.046180161417927,,
1,28,Ambient,Ambient ,3.012954,3.73394,4.093079,4.028009,,,4.028009,23.929538917620377,9.618231680209117,-1.5897567576878042,,
1,29,Ambient,Ambient ,3.51483,4.51344,4.973056,5.427162,,,,28.411331415744158,10.183274841362676,9.13132689436838,,
1,30,Ambient,Ambient ,3.290006,3.867866,4.431153,,,,4.431153,17.564101706805392,14.563250122936017,,,
2,1,Ambient,Ambient +4,3.166664,3.778436,4.166619,4.307705,4.416683,,4.416683,19.319132058216475,10.273642321849561,3.3861027370153236,2.529838974581583,
2,2,Ambient,Ambient +4,3.054667,3.545004,3.712553,3.780968,3.783136,,,16.05206066651456,4.726341634593364,1.8428019748135553,0.05733981350806792,
2,3,Ambient,Ambient +4,3.080988,3.79863,4.387113,,,,,23.292593155182693,15.491980003316987,,,
2,4,Ambient,Ambient +4,3.306714,3.474055,,,,,,5.060643285146522,,,,
2,5,Ambient,Ambient +4,3.385768,3.894134,4.18545,,3.568179,,3.568179,15.014791326517354,7.480893056068439,,,
2,6,Ambient,Ambient +4,3.447014,3.926491,4.014437,4.079902,,,4.079902,13.909923197294823,2.2398115773091054,1.6307392543462425,,
2,7,Ambient,Ambient +4,2.941927,3.51301,3.737743,,,,3.965938,19.411868479401416,6.397163685842059,,,
2,8,Ambient,Ambient +4,3.299229,3.77288,4.397964,4.554532,,,,14.356414786606198,16.567820868938323,3.5600109505216513,,
2,9,Ambient,Ambient +4,3.041983,,3.864156,3.994751,,,,,,3.3796513391281304,,
2,10,Ambient,Ambient +4,3.047897,3.627145,3.938226,3.945305,4.044593,3.930422,3.930422,19.004841699046924,8.576469923314335,0.17975098432644693,2.516611516726845,-2.8228056568361715
2,11,Ambient,Ambient +4,3.223561,3.487158,,,,,,8.177199066498195,,,,
2,12,Ambient,Ambient +4,2.959998,3.347454,,,,,,13.089738574147677,,,,
2,13,Ambient,Ambient +4,3.480214,3.878171,4.355839,,,,,11.434842799896785,12.316836983206763,,,
2,14,Ambient,Ambient +4,3.200499,3.814074,4.164675,4.297691,,,4.297691,19.17122923644094,9.192296740965165,3.193910689309501,,
2,15,Ambient,Ambient +4,3.1066,3.751443,3.983044,,,,,20.75719436039401,6.173651045744263,,,
2,16,Ambient,Ambient +4,3.147326,3.980912,4.529562,,,,,26.485530891938108,13.782017788888584,,,
2,17,Ambient,Ambient +4,3.12244,3.436712,3.593883,,,,,10.06494920638987,4.57329563838925,,,
2,18,Ambient,Ambient +4,3.092712,3.771598,4.028254,,,,,21.951154844033322,6.8049670192846525,,,
2,19,Ambient,Ambient +4,2.886982,3.222166,3.463069,,,,,11.610186693231892,7.476430450820966,,,
2,20,Ambient,Ambient +4,2.997717,3.531994,,,,,,17.822796481455715,,,,
2,21,Ambient,Ambient +4,3.108171,3.419944,3.563428,,,,,10.030754421169236,4.195507294856289,,,
2,22,Ambient,Ambient +4,3.283313,,,,,,,,,,,
2,23,Ambient,Ambient +4,3.240899,3.774444,3.815944,3.733618,4.11664,,,16.462870333200748,1.099499687901055,-2.1574215973819357,10.258735628551191,
2,24,Ambient,Ambient +4,3.059415,3.7331,3.939693,4.00925,,,,22.020059390439016,5.5340869518630695,1.7655436603816501,,
2,25,Ambient,Ambient +4,3.403423,4.115647,4.703457,4.765884,5.0576,5.192288,5.192288,20.926696446489313,14.28232304665585,1.3272578020804604,6.120921113480733,2.663081303384999
2,26,Ambient,Ambient +4,3.231716,,3.722226,,,,,,,,,
2,27,Ambient,Ambient +4,3.065056,,,,,,,,,,,
2,28,Ambient,Ambient +4,3.033177,3.381107,3.477238,3.413588,,,3.413588,11.470810968169689,2.843181242119807,-1.8304757971700523,,
2,29,Ambient,Ambient +4,2.678582,2.956016,3.114616,,,,,10.357495122419248,5.365329551666833,,,
2,30,Ambient,Ambient +4,3.070126,3.582109,3.945149,,,,,16.67628625014087,10.134811643085117,,,
3,1,Ambient,Ambient +2,3.023675,3.561769,3.781702,,,,,17.796026358652966,6.1748249254794505,,,
3,2,Ambient,Ambient +2,3.083357,3.897858,4.235626,,,,4.235626,26.416045887647783,8.665477295478698,,,
3,3,Ambient,Ambient +2,3.342638,4.110164,4.254395,4.349722,,,4.349722,22.961684753179977,3.50913004931189,2.2406711177500016,,
3,4,Ambient,Ambient +2,2.897969,3.720276,4.230591,,,,,28.375286278079592,13.717127438931959,,,
3,5,Ambient,Ambient +2,2.958403,3.380919,3.394494,3.393637,,,,14.28189465735398,0.40151804879087294,-0.02524676726486733,,
3,6,Ambient,Ambient +2,2.987551,3.494396,,,,,,16.96523339685248,,,,
3,7,Ambient,Ambient +2,3.133559,3.776426,,,,,,20.515554358478646,,,,
3,8,Ambient,Ambient +2,2.894969,,,,,,,,,,,
3,9,Ambient,Ambient +2,2.916956,,,,,,,,,,,
3,10,Ambient,Ambient +2,2.931682,3.411596,3.61214,,,,,16.36992006636463,5.878304465124249,,,
3,11,Ambient,Ambient +2,3.439562,4.282287,4.979916,5.057944,,,5.057944,24.50093936379109,16.29103794304305,1.566853738095176,,
3,12,Ambient,Ambient +2,3.038751,3.543679,3.623015,3.593617,,,3.593617,16.616300578757524,2.2388032324598273,-0.8114236347351594,,
3,13,Ambient,Ambient +2,3.019992,3.602794,3.19161,,,,,19.29813059107442,-11.412920083690603,,,
3,14,Ambient,Ambient +2,3.200499,3.871798,4.228986,,,,,20.97482298854022,9.225377976846929,,,
3,15,Ambient,Ambient +2,2.978136,3.609578,3.878552,4.055506,,,,21.202591150974968,7.451674406260235,4.562372761793584,,
3,16,Ambient,Ambient +2,3.076662,3.516382,3.708981,,,,,14.2921126857614,5.477192182191808,,,
3,17,Ambient,Ambient +2,3.010889,3.418179,,,,,,13.527233983052836,,,,
3,18,Ambient,Ambient +2,2.948551,3.688084,3.897828,,,,,25.081234816694696,5.687072203344614,,,
3,19,Ambient,Ambient +2,2.781153,3.481507,,,,,,25.182145678429052,,,,
3,20,Ambient,Ambient +2,3.190664,3.928259,,,,,,23.11728843902085,,,,
3,21,Ambient,Ambient +2,3.045465,3.728545,3.994434,4.034699,,,4.034699,22.429415540812318,7.131173151993607,1.0080276705035,,
3,22,Ambient,Ambient +2,3.105087,3.856448,4.150251,,,,,24.197743895742686,7.61848727118841,,,
3,23,Ambient,Ambient +2,3.044406,3.586205,3.858842,4.211869,,,4.211869,17.79654224830723,7.6023819051058155,9.148521758600118,,
3,24,Ambient,Ambient +2,3.25879,3.967114,4.287217,,,,,21.735797642683334,8.068913572939925,,,
3,25,Ambient,Ambient +2,,3.28552,3.322708,,,,,,1.131875623949938,,,
3,26,Ambient,Ambient +2,3.034999,3.705488,,,,,,22.091901842471774,,,,
3,27,Ambient,Ambient +2,3.080622,,,,,,,,,,,
3,28,Ambient,Ambient +2,3.031872,3.496842,3.660784,,,,,15.336069596605665,4.688287317528216,,,
3,29,Ambient,Ambient +2,2.947936,,,,,,,,,,,
