Treatment pH,Treatment temp C,Intermolt,Degree Days ,Experimental Days
7.8,ambient,1st,350.43458333333336,31
7.8,ambient,1st,372.7026250000001,33
7.8,ambient,1st,372.4828333333334,33
7.8,ambient,1st,383.88693750000016,34
7.8,ambient,1st,383.7037500000001,34
7.8,ambient,1st,405.4288125,36
7.8,ambient,1st,405.46877083333345,36
7.8,ambient,1st,428.3380208333334,38
7.8,ambient,1st,425.1487916666665,38
7.8,ambient,1st,448.1283333333332,40
7.8,ambient,1st,447.38818749999984,40
7.8,ambient,1st,467.6987291666667,42
7.8,ambient,1st,468.5554791666665,42
7.8,ambient,1st,476.83777083333314,43
7.8,ambient,1st,480.1265416666665,43
7.8,ambient,1st,497.08224999999976,45
7.8,ambient,1st,502.28575000000006,45
7.8,ambient,1st,518.5316458333331,47
7.8,ambient,1st,518.5316458333331,47
7.8,ambient,1st,517.2417499999999,48
7.8,ambient,1st,548.9759166666665,50
7.8,ambient,1st,550.4650416666665,50
7.8,ambient,1st,558.9483541666666,52
7.8,ambient,1st,573.8644791666665,54
7.8,ambient,1st,630.8821249999997,59
7.8,ambient,1st,778.7981666666667,78
7.8,ambient,2nd,492.36614583333323,52
7.8,ambient,2nd,619.0269375,65
7.8,ambient,2nd,637.0622916666665,65
7.8,ambient,2nd,626.7614375,66
7.8,ambient,2nd,652.0041250000002,70
7.8,ambient,2nd,607.8914583333338,70
7.8,ambient,2nd,781.2739583333337,87
7.8,ambient,2nd,772.0888958333335,107
7.8,ambient,2nd,792.8446875000002,109
7.8,ambient +2,1st,305.74870833333335,23
7.8,ambient +2,1st,388.72512499999993,29
7.8,ambient +2,1st,399.2203333333333,30
7.8,ambient +2,1st,401.1435833333333,30
7.8,ambient +2,1st,412.99666666666667,31
7.8,ambient +2,1st,414.8508333333333,31
7.8,ambient +2,1st,427.58549999999997,32
7.8,ambient +2,1st,426.8955208333333,32
7.8,ambient +2,1st,428.5139166666666,32
7.8,ambient +2,1st,453.800375,34
7.8,ambient +2,1st,476.15283333333343,36
7.8,ambient +2,1st,472.90202083333344,36
7.8,ambient +2,1st,486.96685416666674,37
7.8,ambient +2,1st,486.96685416666674,37
7.8,ambient +2,1st,486.3292916666668,37
7.8,ambient +2,1st,488.6056041666668,37
7.8,ambient +2,1st,499.69083333333344,38
7.8,ambient +2,1st,501.1523541666668,38
7.8,ambient +2,1st,506.5821458333334,39
7.8,ambient +2,1st,509.08391666666665,39
7.8,ambient +2,1st,521.0105416666668,40
7.8,ambient +2,1st,524.3594375,40
7.8,ambient +2,1st,526.4790416666668,40
7.8,ambient +2,1st,533.9308958333334,41
7.8,ambient +2,1st,541.0912708333335,42
7.8,ambient +2,1st,556.7701458333333,43
7.8,ambient +2,1st,566.1244166666668,44
7.8,ambient +2,1st,611.7777083333334,47
7.8,ambient +2,2nd,469.0764791666668,37
7.8,ambient +2,2nd,472.9081458333335,38
7.8,ambient +2,2nd,511.0700416666669,42
7.8,ambient +2,2nd,553.1600833333337,46
7.8,ambient +2,2nd,553.7224166666666,50
7.8,ambient +2,2nd,641.725625,55
7.8,ambient +2,2nd,710.8784374999997,69
7.8,ambient +2,2nd,739.8180416666664,72
7.8,ambient +2,2nd,783.952958333333,79
7.8,ambient +2,2nd,846.5597708333331,82
7.8,ambient +2,2nd,879.8905416666663,84
7.8,ambient +2,2nd,977.2910416666666,88
7.8,ambient +2,2nd,939.5454166666665,88
7.8,ambient +2,2nd,920.9642708333331,94
7.8,ambient +4,1st,283.499875,19
7.8,ambient +4,1st,327.65968749999996,22
7.8,ambient +4,1st,374.2408333333332,25
7.8,ambient +4,1st,374.0455208333333,25
7.8,ambient +4,1st,388.83118749999994,26
7.8,ambient +4,1st,388.83118749999994,26
7.8,ambient +4,1st,403.67768749999993,27
