Experimental Day,Treatment pH,Treatment temp C,Number alive,Initial number
1,ambient,ambient,30,30
2,ambient,ambient,30,30
3,ambient,ambient,30,30
4,ambient,ambient,30,30
5,ambient,ambient,30,30
6,ambient,ambient,30,30
7,ambient,ambient,30,30
8,ambient,ambient,30,30
9,ambient,ambient,30,30
10,ambient,ambient,30,30
11,ambient,ambient,30,30
12,ambient,ambient,30,30
13,ambient,ambient,30,30
14,ambient,ambient,30,30
15,ambient,ambient,30,30
16,ambient,ambient,30,30
17,ambient,ambient,30,30
18,ambient,ambient,30,30
19,ambient,ambient,30,30
20,ambient,ambient,30,30
21,ambient,ambient,30,30
22,ambient,ambient,30,30
23,ambient,ambient,30,30
24,ambient,ambient,30,30
25,ambient,ambient,30,30
26,ambient,ambient,30,30
27,ambient,ambient,29,30
28,ambient,ambient,29,30
29,ambient,ambient,29,30
30,ambient,ambient,29,30
31,ambient,ambient,29,30
32,ambient,ambient,29,30
33,ambient,ambient,29,30
34,ambient,ambient,29,30
35,ambient,ambient,29,30
36,ambient,ambient,29,30
37,ambient,ambient,29,30
38,ambient,ambient,29,30
39,ambient,ambient,29,30
40,ambient,ambient,29,30
41,ambient,ambient,29,30
42,ambient,ambient,29,30
43,ambient,ambient,29,30
44,ambient,ambient,29,30
45,ambient,ambient,29,30
46,ambient,ambient,29,30
47,ambient,ambient,29,30
48,ambient,ambient,29,30
49,ambient,ambient,29,30
50,ambient,ambient,29,30
51,ambient,ambient,29,30
52,ambient,ambient,29,30
53,ambient,ambient,28,30
54,ambient,ambient,28,30
55,ambient,ambient,28,30
56,ambient,ambient,28,30
57,ambient,ambient,28,30
58,ambient,ambient,28,30
59,ambient,ambient,28,30
60,ambient,ambient,28,30
61,ambient,ambient,27,30
62,ambient,ambient,27,30
63,ambient,ambient,27,30
64,ambient,ambient,26,30
65,ambient,ambient,26,30
66,ambient,ambient,26,30
67,ambient,ambient,26,30
68,ambient,ambient,26,30
69,ambient,ambient,26,30
70,ambient,ambient,26,30
71,ambient,ambient,25,30
72,ambient,ambient,24,30
73,ambient,ambient,24,30
74,ambient,ambient,24,30
75,ambient,ambient,24,30
76,ambient,ambient,24,30
77,ambient,ambient,24,30
78,ambient,ambient,24,30
79,ambient,ambient,24,30
80,ambient,ambient,24,30
81,ambient,ambient,23,30
82,ambient,ambient,23,30
83,ambient,ambient,23,30
84,ambient,ambient,23,30
85,ambient,ambient,23,30
86,ambient,ambient,23,30
87,ambient,ambient,23,30
88,ambient,ambient,23,30
89,ambient,ambient,23,30
90,ambient,ambient,23,30
91,ambient,ambient,23,30
92,ambient,ambient,23,30
93,ambient,ambient,23,30
94,ambient,ambient,23,30
95,ambient,ambient,21,30
96,ambient,ambient,21,30
97,ambient,ambient,20,30
98,ambient,ambient,20,30
99,ambient,ambient,20,30
100,ambient,ambient,20,30
101,ambient,ambient,19,30
102,ambient,ambient,19,30
103,ambient,ambient,19,30
104,ambient,ambient,19,30
105,ambient,ambient,19,30
106,ambient,ambient,19,30
107,ambient,ambient,18,30
108,ambient,ambient,18,30
109,ambient,ambient,18,30
110,ambient,ambient,18,30
111,ambient,ambient,18,30
112,ambient,ambient,18,30
113,ambient,ambient,18,30
114,ambient,ambient,18,30
115,ambient,ambient,18,30
116,ambient,ambient,18,30
117,ambient,ambient,18,30
118,ambient,ambient,18,30
119,ambient,ambient,18,30
120,ambient,ambient,18,30
121,ambient,ambient,18,30
122,ambient,ambient,18,30
123,ambient,ambient,18,30
124,ambient,ambient,18,30
125,ambient,ambient,18,30
126,ambient,ambient,18,30
127,ambient,ambient,18,30
128,ambient,ambient,18,30
129,ambient,ambient,18,30
130,ambient,ambient,18,30
131,ambient,ambient,18,30
132,ambient,ambient,18,30
133,ambient,ambient,17,30
134,ambient,ambient,17,30
135,ambient,ambient,17,30
136,ambient,ambient,17,30
137,ambient,ambient,17,30
138,ambient,ambient,17,30
139,ambient,ambient,17,30
140,ambient,ambient,17,30
141,ambient,ambient,17,30
142,ambient,ambient,17,30
143,ambient,ambient,17,30
144,ambient,ambient,17,30
145,ambient,ambient,17,30
146,ambient,ambient,16,30
147,ambient,ambient,16,30
148,ambient,ambient,16,30
149,ambient,ambient,16,30
150,ambient,ambient,16,30
151,ambient,ambient,16,30
152,ambient,ambient,16,30
153,ambient,ambient,16,30
154,ambient,ambient,16,30
155,ambient,ambient,16,30
156,ambient,ambient,16,30
157,ambient,ambient,16,30
158,ambient,ambient,16,30
159,ambient,ambient,16,30
160,ambient,ambient,16,30
161,ambient,ambient,16,30
162,ambient,ambient,16,30
163,ambient,ambient,16,30
164,ambient,ambient,16,30
165,ambient,ambient,16,30
166,ambient,ambient,16,30
167,ambient,ambient,16,30
168,ambient,ambient,16,30
169,ambient,ambient,16,30
170,ambient,ambient,16,30
171,ambient,ambient,16,30
172,ambient,ambient,16,30
173,ambient,ambient,16,30
174,ambient,ambient,16,30
175,ambient,ambient,16,30
176,ambient,ambient,16,30
177,ambient,ambient,16,30
178,ambient,ambient,16,30
179,ambient,ambient,16,30
180,ambient,ambient,16,30
181,ambient,ambient,16,30
182,ambient,ambient,16,30
183,ambient,ambient,16,30
184,ambient,ambient,16,30
1,ambient,ambient +4,28,28
2,ambient,ambient +4,28,28
3,ambient,ambient +4,28,28
4,ambient,ambient +4,28,28
5,ambient,ambient +4,28,28
6,ambient,ambient +4,28,28
7,ambient,ambient +4,28,28
8,ambient,ambient +4,28,28
9,ambient,ambient +4,28,28
10,ambient,ambient +4,28,28
11,ambient,ambient +4,28,28
12,ambient,ambient +4,28,28
13,ambient,ambient +4,28,28
14,ambient,ambient +4,28,28
15,ambient,ambient +4,28,28
16,ambient,ambient +4,28,28
17,ambient,ambient +4,28,28
18,ambient,ambient +4,28,28
19,ambient,ambient +4,28,28
20,ambient,ambient +4,28,28
21,ambient,ambient +4,28,28
22,ambient,ambient +4,28,28
23,ambient,ambient +4,28,28
24,ambient,ambient +4,28,28
25,ambient,ambient +4,28,28
26,ambient,ambient +4,28,28
27,ambient,ambient +4,28,28
28,ambient,ambient +4,28,28
29,ambient,ambient +4,28,28
30,ambient,ambient +4,28,28
31,ambient,ambient +4,28,28
32,ambient,ambient +4,28,28
33,ambient,ambient +4,28,28
34,ambient,ambient +4,28,28
35,ambient,ambient +4,28,28
36,ambient,ambient +4,28,28
37,ambient,ambient +4,28,28
38,ambient,ambient +4,28,28
39,ambient,ambient +4,28,28
40,ambient,ambient +4,28,28
41,ambient,ambient +4,28,28
42,ambient,ambient +4,28,28
43,ambient,ambient +4,28,28
44,ambient,ambient +4,28,28
45,ambient,ambient +4,28,28
46,ambient,ambient +4,28,28
47,ambient,ambient +4,28,28
48,ambient,ambient +4,28,28
49,ambient,ambient +4,28,28
50,ambient,ambient +4,28,28
51,ambient,ambient +4,27,28
52,ambient,ambient +4,25,28
53,ambient,ambient +4,24,28
54,ambient,ambient +4,24,28
55,ambient,ambient +4,24,28
56,ambient,ambient +4,24,28
57,ambient,ambient +4,24,28
58,ambient,ambient +4,24,28
59,ambient,ambient +4,24,28
60,ambient,ambient +4,24,28
61,ambient,ambient +4,24,28
62,ambient,ambient +4,23,28
63,ambient,ambient +4,23,28
64,ambient,ambient +4,23,28
65,ambient,ambient +4,23,28
66,ambient,ambient +4,23,28
67,ambient,ambient +4,23,28
68,ambient,ambient +4,23,28
69,ambient,ambient +4,23,28
70,ambient,ambient +4,23,28
71,ambient,ambient +4,23,28
72,ambient,ambient +4,23,28
73,ambient,ambient +4,23,28
74,ambient,ambient +4,23,28
75,ambient,ambient +4,23,28
76,ambient,ambient +4,22,28
77,ambient,ambient +4,22,28
78,ambient,ambient +4,22,28
79,ambient,ambient +4,21,28
80,ambient,ambient +4,21,28
81,ambient,ambient +4,21,28
82,ambient,ambient +4,21,28
83,ambient,ambient +4,20,28
84,ambient,ambient +4,20,28
85,ambient,ambient +4,20,28
86,ambient,ambient +4,20,28
87,ambient,ambient +4,20,28
88,ambient,ambient +4,20,28
