Date,Treatment pH,Treatment temp C,Tub ,pH,Temp C,Salinity,Alkalinity,DIC
2012-08-07 00:00:00,Control,Control,1,8.026666666666666,10.800000000000002,31.35368,2133.4,1976.9
2012-08-07 00:00:00,Control,Control +4,2,7.976666666666667,14.833333333333334,31.35368,2133.4,1976.9
2012-08-07 00:00:00,Control,Control +2,3,8.01,12.433333333333332,31.35368,2133.4,1976.9
2012-08-07 00:00:00,pH 7.8,Control,4,7.79,10.699999999999998,31.35368,2142.51,2066.4
2012-08-07 00:00:00,pH 7.8,Control +2,5,7.77,12.5,31.35368,2142.51,2066.4
2012-08-07 00:00:00,pH 7.8,Control +4,6,7.760000000000001,14.333333333333334,31.35368,2142.51,2066.4
2012-08-14 00:00:00,Control,Control,1,7.993333333333333,11.4,31.34188,2147.69,2008.5
2012-08-14 00:00:00,Control,Control +4,2,7.95,14.366666666666667,31.34188,2147.69,2008.5
2012-08-14 00:00:00,Control,Control +2,3,7.97,12.800000000000002,31.34188,2147.69,2008.5
2012-08-14 00:00:00,pH 7.8,Control,4,7.8,11.300000000000002,31.32504,2127.21,2056.5
2012-08-14 00:00:00,pH 7.8,Control +2,5,7.78,12.866666666666667,31.32504,2127.21,2056.5
2012-08-14 00:00:00,pH 7.8,Control +4,6,7.760000000000001,14.766666666666666,31.32504,2127.21,2056.5
2012-08-21 00:00:00,Control,Control,1,8.02,10.566666666666668,31.23276,2136.9,2007.6
2012-08-21 00:00:00,Control,Control +4,2,7.95,14.833333333333334,31.23276,2136.9,2007.6
2012-08-21 00:00:00,Control,Control +2,3,7.989999999999999,12.266666666666666,31.23276,2136.9,2007.6
2012-08-21 00:00:00,pH 7.8,Control,4,7.8,10.699999999999998,31.23276,2130.43,2003.9
2012-08-21 00:00:00,pH 7.8,Control +2,5,7.776666666666666,12.733333333333334,31.23276,2130.43,2003.9
2012-08-21 00:00:00,pH 7.8,Control +4,6,7.760000000000001,14.6,31.23276,2130.43,2003.9
2012-08-28 00:00:00,Control,Control,1,8.05666666666667,11,31.28493,2128.19,1999
