Tub,Insert #,pH treatment,Temp treatment,Days Intermolt 1,Days Intermolt 2,Degree Days Intermolt 1,Degree Days Intermolt 2
1,2,ambient,ambient,45,111,481.4754791666666,824.0717708333333
1,3,ambient,ambient,36,71,395.6384791666667,623.8145
1,4,ambient,ambient,42,,459.94168750000006,
1,5,ambient,ambient,47,,498.87518749999987,
1,6,ambient,ambient,42,85,453.05331249999995,658.6213750000002
1,7,ambient,ambient,51,104,544.908625,773.7636458333333
1,8,ambient,ambient,48,,514.4731458333333,
1,10,ambient,ambient,47,78,500.0169791666666,589.8287708333335
1,12,ambient,ambient,36,67,401.3682708333334,626.9365833333331
1,13,ambient,ambient,39,70,428.7947916666667,613.1502708333333
1,14,ambient,ambient,37,,405.91475,
1,15,ambient,ambient,38,,423.0198333333334,
1,18,ambient,ambient,37,86,407.4550416666667,727.9284374999999
1,19,ambient,ambient,43,67,464.5792499999999,549.6334999999999
1,20,ambient,ambient,56,,582.2866458333331,
1,22,ambient,ambient,50,,534.2045416666667,
1,23,ambient,ambient,32,,356.58445833333343,
1,25,ambient,ambient,38,78,416.1932708333334,654.3361458333333
1,26,ambient,ambient,43,,461.89879166666657,
1,27,ambient,ambient,41,79,455.45312500000006,680.5018333333331
1,28,ambient,ambient,32,59,356.3388333333334,559.3323541666664
1,29,ambient,ambient,34,55,378.52637500000003,524.0821458333332
1,30,ambient,ambient,40,99,438.12906250000003,787.4231250000001
2,1,ambient,ambient +4,26,38,390.2549791666666,549.057104166666
2,2,ambient,ambient +4,30,38,456.1327499999999,533.6513124999994
2,3,ambient,ambient +4,24,,359.41549999999995,
2,5,ambient,ambient +4,28,39,425.8661249999999,551.9181041666661
2,6,ambient,ambient +4,33,64,496.66495833333295,824.1459791666664
2,7,ambient,ambient +4,28,32,423.8956458333333,472.35095833333276
2,8,ambient,ambient +4,29,36,436.0178541666666,518.4561041666661
2,9,ambient,ambient +4,31,52,470.7553541666665,709.0072291666663
2,10,ambient,ambient +4,29,40,440.6483749999999,563.7582916666661
2,12,ambient,ambient +4,30,,454.42006249999974,
2,13,ambient,ambient +4,29,,437.67564583333325,
2,14,ambient,ambient +4,27,42,406.98620833333325,599.9219583333329
2,15,ambient,ambient +4,27,55,410.6206249999999,750.9556666666663
2,16,ambient,ambient +4,27,36,403.6942916666666,521.7356458333328
2,17,ambient,ambient +4,32,60,483.6533541666664,787.8280208333331
2,18,ambient,ambient +4,28,38,425.37718749999993,540.4002916666661
2,19,ambient,ambient +4,39,47,586.3866874999997,619.4905625
2,20,ambient,ambient +4,25,,380.59749999999997,
2,21,ambient,ambient +4,32,,481.60797916666627,
2,23,ambient,ambient +4,32,46,484.64566666666644,625.8235416666664
2,24,ambient,ambient +4,26,38,395.0151666666666,542.9130416666661
2,25,ambient,ambient +4,26,33,390.1419791666666,480.8635624999994
2,26,ambient,ambient +4,37,58,556.161083333333,749.7804999999997
2,28,ambient,ambient +4,32,69,481.7266666666663,882.3774999999996
2,29,ambient,ambient +4,28,43,423.6599374999997,579.6163749999997
2,30,ambient,ambient +4,27,,410.6450624999999,
3,1,ambient,ambient +2,33,49,425.24864583333317,552.6179375000002
3,2,ambient,ambient +2,33,,426.3067083333333,
3,3,ambient,ambient +2,39,70,502.38108333333327,740.6477916666666
3,4,ambient,ambient +2,25,,322.8267916666666,
3,5,ambient,ambient +2,38,67,486.4156458333333,699.7942916666666
3,6,ambient,ambient +2,33,,425.76514583333324,
3,10,ambient,ambient +2,37,,474.9586041666666,
3,11,ambient,ambient +2,29,43,373.50029166666667,519.3869999999998
3,12,ambient,ambient +2,40,52,509.8613124999999,554.3071041666669
3,13,ambient,ambient +2,34,,437.63170833333317,
3,14,ambient,ambient +2,33,,424.3712083333333,
3,15,ambient,ambient +2,28,53,361.6115,615.8896666666667
3,16,ambient,ambient +2,32,,412.0319791666666,
3,18,ambient,ambient +2,33,,425.8796666666667,
3,21,ambient,ambient +2,29,48,374.35412499999995,568.6646041666665
3,22,ambient,ambient +2,30,,386.1152916666667,
3,23,ambient,ambient +2,35,66,449.08558333333326,691.2152291666666
3,24,ambient,ambient +2,28,49,360.27816666666666,586.4582499999998
3,25,ambient,ambient +2,33,,420.0377499999998,
3,28,ambient,ambient +2,32,71,412.00741666666653,764.5890208333333
3,30,ambient,ambient +2,38,72,482.6632916666665,719.721020833333
4,1,7.8,ambient,36,52,405.4288125,492.36614583333323
4,2,7.8,ambient,43,,476.83777083333314,
4,4,7.8,ambient,34,70,383.88693750000016,652.0041250000002
4,5,7.8,ambient,38,,428.3380208333334,
4,6,7.8,ambient,33,65,372.7026250000001,619.0269375
4,7,7.8,ambient,50,107,548.9759166666665,772.0888958333335
4,8,7.8,ambient,31,65,350.43458333333336,637.0622916666665
4,9,7.8,ambient,40,,448.1283333333332,
4,10,7.8,ambient,42,,467.6987291666667,
4,11,7.8,ambient,47,,518.5316458333331,
4,14,7.8,ambient,42,,468.5554791666665,
4,15,7.8,ambient,38,70,425.1487916666665,607.8914583333338
4,16,7.8,ambient,48,,517.2417499999999,
