Date,Tub 1 Temp Co,Tub 4 Temp Co,Tub 8 Temp Co,Tub 9 Temp Co,Tub 15 Temp Co,Avg. Temp Co,New +2 Temp Co,New +4 Temp Co,Comments
2012-07-18 00:00:00,10.4,10.8,10.6,10.3,10.6,10.5,11.5,11.5,plus 1 degree C for day -4
2012-07-19 00:00:00,11.1,11,10.9,10.5,11,10.9,12.9,12.9,plus 2 degrees C for day -3
2012-07-20 00:00:00,11.1,11,10.7,10.6,10.9,10.9,12.9,13.9,plus 3 degrees C for +4 treatment for day -1
2012-07-21 00:00:00,11.1,11.1,11,10.7,10.9,11,13,15,
2012-07-22 00:00:00,11.1,11,10.8,10.6,10.9,10.8,12.8,14.8,
2012-07-23 00:00:00,10.9,10.9,10.7,10.6,10.8,10.8,12.8,14.8,
2012-07-24 00:00:00,10.9,10.7,10.5,10.4,10.7,10.6,12.6,14.6,
2012-07-25 00:00:00,10.7,10.7,10.5,10.3,10.7,10.6,12.6,14.6,
2012-07-26 00:00:00,10.8,10.8,10.6,10.4,10.9,10.7,12.7,14.7,
2012-07-27 00:00:00,10.8,10.7,10.5,10.4,10.7,10.6,12.6,14.6,
2012-07-28 00:00:00,11.2,11.2,11,11.1,11.4,11.2,13.2,15.2,
2012-07-29 00:00:00,11.2,11.1,10.9,10.7,11.2,11,13,15,
2012-07-30 00:00:00,11.2,10.9,10.7,10.6,11.1,10.9,12.9,14.9,
2012-07-31 00:00:00,10.3,10.5,10.6,10.5,10.9,10.6,12.6,14.6,"didn't reset temps for tubs 1-6, set at ambient"
2012-08-01 00:00:00,10.5,11.3,11.1,10.8,10.9,10.9,12.9,14.9,"began growth/ survival experiment again, tubs 1-6 are +1 C so 11.9"
2012-08-02 00:00:00,10.4,10.9,11,10.7,11.1,10.8,12.8,14.8,tubs 1-6 are set to +2 C = 12.8 
2012-08-03 00:00:00,10.2,10.7,10.5,10.4,10.7,10.5,12.5,14.5,tubs 2 & 6 set to +3 C = 13.5
2012-08-04 00:00:00,10.5,10.1,10.9,10.6,11,10.6,12.6,14.6,Tub 2 & 6 set to +4 C = 14.6
2012-08-05 00:00:00,10.1,10.6,10.6,10.5,10.6,10.5,12.5,14.5,
2012-08-06 00:00:00,10.8,10.6,10.3,10.2,10.6,10.5,12.5,14.5,
2012-08-07 00:00:00,10.8,10.7,10.4,10.3,10.7,10.6,12.6,14.6,
2012-08-08 00:00:00,10.8,,10.4,10.3,11.1,10.7,12.7,14.7,"no temps for Tub 4 because no H20 flow (hose came off manifold), so temps too high to use-KB"
2012-08-09 00:00:00,11,10.8,10.6,10.5,11.2,10.8,12.8,14.8,
2012-08-10 00:00:00,11.1,10.8,10.6,10.5,11.1,10.8,12.8,14.8,Ended Genetics Experiment. No more Tubs 7-15
2012-08-11 00:00:00,10.9,11.1,,,,11,13,15,
2012-08-12 00:00:00,10.9,11,,,,11,13,15,
2012-08-13 00:00:00,10.9,11.1,,,,11,13,15,
2012-08-14 00:00:00,11.4,11.4,,,,11.4,13.4,15.4,
2012-08-15 00:00:00,11,11.3,,,,11.2,13.2,15.2,
