Date,Exp. Day,Tub ,pH,Temp Co,Comments:
2012-08-01 00:00:00,-4,1,8.08,10.5,
2012-08-01 00:00:00,-4,1,8.08,10.4,
2012-08-01 00:00:00,-4,1,8.08,10.4,
2012-08-01 00:00:00,-4,2,8.1,11.2,
2012-08-01 00:00:00,-4,2,8.09,11.2,
2012-08-01 00:00:00,-4,2,8.09,11.2,
2012-08-01 00:00:00,-4,3,8.07,11.4,
2012-08-01 00:00:00,-4,3,8.07,11.3,
2012-08-01 00:00:00,-4,3,8.07,11.3,
2012-08-01 00:00:00,-4,4,7.79,11.3,
2012-08-01 00:00:00,-4,4,7.79,11.2,
2012-08-01 00:00:00,-4,4,7.79,11.2,
2012-08-01 00:00:00,-4,5,7.79,11.2,
2012-08-01 00:00:00,-4,5,7.79,11.2,
2012-08-01 00:00:00,-4,5,7.79,11.2,
2012-08-01 00:00:00,-4,6,7.82,11.3,
2012-08-01 00:00:00,-4,6,7.82,11.3,
2012-08-01 00:00:00,-4,6,7.82,11.3,
2012-08-02 00:00:00,-3,1,8.07,10.5,
2012-08-02 00:00:00,-3,1,8.07,10.5,
2012-08-02 00:00:00,-3,1,8.07,10.4,
2012-08-02 00:00:00,-3,2,8.04,11.9,
2012-08-02 00:00:00,-3,2,8.04,11.8,
2012-08-02 00:00:00,-3,2,8.04,11.8,
2012-08-02 00:00:00,-3,3,8.04,11.7,
2012-08-02 00:00:00,-3,3,8.04,11.7,
2012-08-02 00:00:00,-3,3,8.04,11.7,
2012-08-02 00:00:00,-3,4,7.78,10.9,
2012-08-02 00:00:00,-3,4,7.78,10.9,
2012-08-02 00:00:00,-3,4,7.78,10.9,
2012-08-02 00:00:00,-3,5,7.78,11.6,
2012-08-02 00:00:00,-3,5,7.77,11.5,
2012-08-02 00:00:00,-3,5,7.77,11.5,
2012-08-02 00:00:00,-3,6,7.78,11.7,
2012-08-02 00:00:00,-3,6,7.78,11.8,
2012-08-02 00:00:00,-3,6,7.78,11.9,
2012-08-03 00:00:00,-2,1,8.07,10.1,
2012-08-03 00:00:00,-2,1,8.07,10.1,
2012-08-03 00:00:00,-2,1,8.07,10.1,
2012-08-03 00:00:00,-2,2,8.03,12.5,
2012-08-03 00:00:00,-2,2,8.02,12.5,
2012-08-03 00:00:00,-2,2,8.03,12.5,
2012-08-03 00:00:00,-2,3,8.03,12.6,
2012-08-03 00:00:00,-2,3,8.03,12.6,
2012-08-03 00:00:00,-2,3,8.03,12.6,
2012-08-03 00:00:00,-2,4,7.78,10.7,
2012-08-03 00:00:00,-2,4,7.78,10.7,
2012-08-03 00:00:00,-2,4,7.78,10.7,
2012-08-03 00:00:00,-2,5,7.76,12.5,
2012-08-03 00:00:00,-2,5,7.76,12.5,
2012-08-03 00:00:00,-2,5,7.76,12.4,
2012-08-03 00:00:00,-2,6,7.77,12.6,
2012-08-03 00:00:00,-2,6,7.77,12.6,
2012-08-03 00:00:00,-2,6,7.77,12.6,
2012-08-04 00:00:00,-1,1,8.09,10.4,
2012-08-04 00:00:00,-1,1,8.08,10.4,
2012-08-04 00:00:00,-1,1,8.08,10.4,
2012-08-04 00:00:00,-1,2,8.01,13.7,
2012-08-04 00:00:00,-1,2,8.01,13.7,
2012-08-04 00:00:00,-1,2,8.01,13.7,
2012-08-04 00:00:00,-1,3,8.06,12.3,
2012-08-04 00:00:00,-1,3,8.04,12.3,
2012-08-04 00:00:00,-1,3,8.06,12.3,
2012-08-04 00:00:00,-1,4,7.79,10.9,
2012-08-04 00:00:00,-1,4,7.79,10.8,
2012-08-04 00:00:00,-1,4,7.78,10.8,
2012-08-04 00:00:00,-1,5,7.79,12.5,
2012-08-04 00:00:00,-1,5,7.78,12.5,
2012-08-04 00:00:00,-1,5,7.78,12.4,
2012-08-04 00:00:00,-1,6,7.75,13.5,
2012-08-04 00:00:00,-1,6,7.75,13.5,
2012-08-04 00:00:00,-1,6,7.75,13.5,
