Tub #,Date,Salinity ppt,Comments
7,2012-07-18 00:00:00,31.6,
8,2012-07-18 00:00:00,31.6,
9,2012-07-18 00:00:00,31.7,
10,2012-07-18 00:00:00,31.4,
11,2012-07-18 00:00:00,31.7,
12,2012-07-18 00:00:00,31.7,
13,2012-07-18 00:00:00,31.7,
14,2012-07-18 00:00:00,31.8,
15,2012-07-18 00:00:00,31.9,
1,2012-07-19 00:00:00,31.4,
2,2012-07-19 00:00:00,31.6,
3,2012-07-19 00:00:00,31.5,
4,2012-07-19 00:00:00,31.5,
5,2012-07-19 00:00:00,31.6,
6,2012-07-19 00:00:00,31.6,
7,2012-07-19 00:00:00,31.6,
8,2012-07-19 00:00:00,31.5,
9,2012-07-19 00:00:00,31.4,
10,2012-07-19 00:00:00,31.7,
11,2012-07-19 00:00:00,31.6,
12,2012-07-19 00:00:00,31.5,
13,2012-07-19 00:00:00,31.7,
14,2012-07-19 00:00:00,31.6,
15,2012-07-19 00:00:00,31.3,
1,2012-07-20 00:00:00,31.6,
2,2012-07-20 00:00:00,31.8,
3,2012-07-20 00:00:00,31.6,
4,2012-07-20 00:00:00,31.6,
5,2012-07-20 00:00:00,31.7,
6,2012-07-20 00:00:00,32,
7,2012-07-20 00:00:00,31.8,
8,2012-07-20 00:00:00,31.8,
9,2012-07-20 00:00:00,31.7,
10,2012-07-20 00:00:00,31.8,
11,2012-07-20 00:00:00,31.6,
12,2012-07-20 00:00:00,31.7,
13,2012-07-20 00:00:00,31.7,
14,2012-07-20 00:00:00,31.8,
15,2012-07-20 00:00:00,31.7,
1,2012-07-21 00:00:00,31.7,
2,2012-07-21 00:00:00,31.8,
3,2012-07-21 00:00:00,31.6,
4,2012-07-21 00:00:00,31.5,
5,2012-07-21 00:00:00,31.8,
6,2012-07-21 00:00:00,31.6,
7,2012-07-21 00:00:00,31.8,
8,2012-07-21 00:00:00,31.6,
9,2012-07-21 00:00:00,31.6,
10,2012-07-21 00:00:00,31.7,
11,2012-07-21 00:00:00,31.7,
12,2012-07-21 00:00:00,31.6,
13,2012-07-21 00:00:00,31.8,
14,2012-07-21 00:00:00,31.7,
15,2012-07-21 00:00:00,31.6,
1,2012-07-22 00:00:00,31.5,
2,2012-07-22 00:00:00,31.7,
3,2012-07-22 00:00:00,31.7,
4,2012-07-22 00:00:00,31.6,
5,2012-07-22 00:00:00,31.8,
6,2012-07-22 00:00:00,31.6,
7,2012-07-22 00:00:00,31.9,
8,2012-07-22 00:00:00,31.7,
9,2012-07-22 00:00:00,31.7,
10,2012-07-22 00:00:00,31.6,
11,2012-07-22 00:00:00,31.9,
12,2012-07-22 00:00:00,31.6,
13,2012-07-22 00:00:00,31.7,
14,2012-07-22 00:00:00,31.4,
15,2012-07-22 00:00:00,31.7,
1,2012-07-23 00:00:00,31.7,
2,2012-07-23 00:00:00,31.7,
3,2012-07-23 00:00:00,31.7,
4,2012-07-23 00:00:00,31.7,
5,2012-07-23 00:00:00,32.1,
6,2012-07-23 00:00:00,31.7,
7,2012-07-23 00:00:00,31.5,
8,2012-07-23 00:00:00,31.6,
9,2012-07-23 00:00:00,31.6,
10,2012-07-23 00:00:00,31.8,
11,2012-07-23 00:00:00,31.8,
12,2012-07-23 00:00:00,31.4,
13,2012-07-23 00:00:00,31.7,
14,2012-07-23 00:00:00,31.9,
15,2012-07-23 00:00:00,31.6,
1,2012-07-24 00:00:00,31.8,
2,2012-07-24 00:00:00,31.8,
3,2012-07-24 00:00:00,31.8,
4,2012-07-24 00:00:00,31.8,
5,2012-07-24 00:00:00,31.8,
6,2012-07-24 00:00:00,31.9,
7,2012-07-24 00:00:00,31.8,
8,2012-07-24 00:00:00,31.8,
9,2012-07-24 00:00:00,31.8,
10,2012-07-24 00:00:00,32,
11,2012-07-24 00:00:00,31.8,
12,2012-07-24 00:00:00,31.9,
13,2012-07-24 00:00:00,31.9,
14,2012-07-24 00:00:00,31.8,
15,2012-07-24 00:00:00,31.9,
1,2012-07-25 00:00:00,31.7,
2,2012-07-25 00:00:00,31.5,
3,2012-07-25 00:00:00,31.9,
4,2012-07-25 00:00:00,31.8,
5,2012-07-25 00:00:00,31.9,
6,2012-07-25 00:00:00,32,
7,2012-07-25 00:00:00,31.9,
8,2012-07-25 00:00:00,31.8,
9,2012-07-25 00:00:00,31.9,
10,2012-07-25 00:00:00,31.9,
11,2012-07-25 00:00:00,31.9,
12,2012-07-25 00:00:00,31.3,
13,2012-07-25 00:00:00,31.7,
