Tub,Tub,#,Date: Wet Weight,Initial Mass (g),Missing Limbs,1st Molt Date,1st Molt Exp Day,Date: Wet Weight,Mass 1 (g),Missing Limbs,2nd Molt Date,2nd Molt Exp Day,Date: Wet Weight,Mass 2 (g),Missing Limbs,3rd Molt Date,3rd Molt Exp Day,Date: Wet Weight,Mass 3 (g),Missing Limbs,4th Molt Date,4th Molt Exp Day,Date: Wet Weight,Mass 4 (g),Missing Limbs,5th Molt Date,5th Molt Exp Day,Date: Wet Weight,Mass 5 (g),Missing Limbs,Death Date,Death: Exp Day,Comments:
1,1,1,2012-08-01 00:00:00,0.0202,No,2012-08-23 00:00:00,19,2012-08-30 00:00:00,0.032,No,,,,,,,,,,,,,,,,,,,,,2012-10-15 00:00:00,72,"10/13/12 (Day 70)-Crab attempting to molt but ABD, 10/14/12 (Day 71)-  Crab still attempting to molt but discribed as ""lively."" 10/15/12- Crab died while attempting to molt."
1,1,2,2012-08-01 00:00:00,0.0194,No,2012-08-25 00:00:00,21,2012-09-01 00:00:00,0.0304,No,2012-10-09 00:00:00,66,2012-10-16 00:00:00,0.0291,No,2013-01-28 00:00:00,177,2013-02-04 00:00:00,0.0367,No,,,,,,,,,,,,,
1,1,3,2012-08-01 00:00:00,0.0213,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0269,"ML1, MR1",2012-09-21 00:00:00,48,2012-09-28 00:00:00,0.0265,No,2012-12-01 00:00:00,119,2012-12-08 00:00:00,0.0304,No,,,,,,,,,,,,,
1,1,4,2012-08-01 00:00:00,0.0178,No,2012-08-15 00:00:00,11,2012-08-22 00:00:00,0.0321,No,2012-09-26 00:00:00,53,2012-10-03 00:00:00,0.0317,No,,,,,,,,,,,,,,,,2012-10-04 00:00:00,61,
1,1,5,2012-08-01 00:00:00,0.0168,No,2012-08-27 00:00:00,23,2012-09-03 00:00:00,0.0223,No,2012-10-13 00:00:00,70,2012-10-20 00:00:00,0.0238,No,,,,,,,,,,,,,,,,,,
1,1,6,2012-08-01 00:00:00,0.0231,No,2012-08-24 00:00:00,20,2012-08-31 00:00:00,0.0377,No,2012-10-05 00:00:00,62,2012-10-12 00:00:00,0.0415,No,2012-12-29 00:00:00,147,2013-01-05 00:00:00,0.0462,No,,,,,,,,,,,,,
1,1,7,2012-08-01 00:00:00,0.021,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.03,No,2012-10-10 00:00:00,67,2012-10-17 00:00:00,0.0286,No,2013-01-22 00:00:00,171,2013-01-29 00:00:00,0.034,No,,,,,,,,,,,,,
1,1,8,2012-08-01 00:00:00,0.0196,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0311,No,2012-10-08 00:00:00,65,2012-10-15 00:00:00,0.0278,RL3,,,,,,,,,,,,,,,,2012-11-09 00:00:00,97,11/4/12-11/8/12: 1-8 Listed ABD
1,1,9,2012-08-01 00:00:00,0.0148,No,2012-08-30 00:00:00,26,2012-09-06 00:00:00,0.021,No,,,,,,,,,,,,,,,,,,,,,2012-09-26 00:00:00,53,
1,1,10,2012-08-01 00:00:00,0.0218,No,2012-08-26 00:00:00,22,2012-09-02 00:00:00,0.0313,No,2012-10-12 00:00:00,69,2012-10-19 00:00:00,0.0224,"MR1, MR2",2012-12-29 00:00:00,147,2013-01-05 00:00:00,0.0328,RR1,,,,,,,,,,,,,
