Juv. RKC OA Growth and Survival Exp. 2024- ROUND TWO!,,,,,,,,,,,,,,,,,,,,,,,,,,
Molting Date and wet weight data,,,,Start date:,2024-08-20 00:00:00,,,,,,,,,,,,,,,,,,,,,
7 days after molting carefully blot crab dry and weigh it. Record the date the crab molted (NOT date of wet weight),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Initial Mass,,,After 1st molt,,,After 2nd molt,,,After 3rd molt,,,After 4th molt,,,Date died,5th molt,,6th molt,,6th molt,,,
Tub,Treatment,Cell,Date,Mass (g),Missing limbs,Molt Date,Mass,Missing limbs,Molt Date,Mass,Missing limbs,Molt Date,Mass,Missing limbs,Molt Date,Mass,Missing limbs,,date,mass,date,mass,date,mass,,
1,pH 7.55-A,4,2024-08-20 00:00:00,0.0093,,2024-09-16 00:00:00,0.0119,,2024-10-24 00:00:00,0.016,,2024-12-17 00:00:00,0.0265,,2025-02-25 00:00:00,0.0476,,,2025-04-23 00:00:00,0.0683,,,,,,
1,pH 7.55-A,5,2024-08-20 00:00:00,0.0109,,2024-09-12 00:00:00,0.0111,,2024-10-15 00:00:00,0.0169,,2025-01-20 00:00:00,0.0238,,2025-03-19 00:00:00,0.037,,2025-05-19 00:00:00,,,,,,,,
1,pH 7.55-A,6,2024-08-20 00:00:00,0.0093,,2024-09-18 00:00:00,0.013,,2024-10-28 00:00:00,0.0176,,2025-01-14 00:00:00,0.0332,,2025-03-27 00:00:00,,,,2025-05-23 00:00:00,0.0674,,,,,,
1,pH 7.55-A,7,2024-08-20 00:00:00,0.0112,,2024-09-16 00:00:00,0.0155,,2024-11-16 00:00:00,0.0157,,2025-02-27 00:00:00,0.0238,,2025-04-28 00:00:00,0.032,,,2025-05-14 00:00:00,0.0198,,,,,,
1,pH 7.55-A,8,2024-08-21 00:00:00,0.0113,,2024-09-07 00:00:00,0.0166,,2024-10-22 00:00:00,0.0189,,2025-01-31 00:00:00,0.0324,,2025-04-07 00:00:00,0.0481,,,2025-06-01 00:00:00,0.0768,,,,,,
1,pH 7.55-A,9,2024-08-21 00:00:00,0.0094,,2024-09-22 00:00:00,0.0104,,2024-11-30 00:00:00,0.0105,,2025-02-27 00:00:00,0.0129,,2025-05-14 00:00:00,,,,,,,,,,,
1,pH 7.55-A,10,2024-08-21 00:00:00,0.0046,,2024-10-04 00:00:00,0.0066,,2024-11-21 00:00:00,0.0103,,2025-01-29 00:00:00,0.0128,,2025-03-29 00:00:00,0.0264,,,2025-05-12 00:00:00,,,,,,,
1,pH 7.55-A,11,2024-08-21 00:00:00,0.0088,,2024-09-05 00:00:00,0.0114,,2024-10-16 00:00:00,0.0164,,2025-01-18 00:00:00,0.0206,,2025-03-31 00:00:00,0.0324,,,2025-05-18 00:00:00,,,,,,,
1,pH 7.55-A,20,2024-08-22 00:00:00,0.0096,,2024-09-03 00:00:00,0.017,,2024-10-16 00:00:00,0.0264,,2025-01-05 00:00:00,0.026,,2025-03-26 00:00:00,0.0313,,,2025-05-21 00:00:00,0.0492,,,,,,
1,pH 7.55-A,21,2024-08-22 00:00:00,0.0166,,2024-08-26 00:00:00,0.0223,,2024-10-22 00:00:00,0.0262,,2025-01-26 00:00:00,0.0349,,2025-04-02 00:00:00,0.0576,,,2025-06-04 00:00:00,,"Marked as having molted on 6/4.  No mass or end of exp pic.  X on the row, but not on date.  Assume died between molt date and massing date",,,,,
1,pH 7.55-A,22,2024-08-22 00:00:00,0.0119,,2024-09-18 00:00:00,0.014,,2024-11-01 00:00:00,0.0177,,2025-02-06 00:00:00,0.0252,,2025-04-16 00:00:00,0.0381,,2025-06-08 00:00:00,2025-06-02 00:00:00,0.0571,,,,,,
1,pH 7.55-A,23,2024-08-23 00:00:00,0.0108,,2024-09-08 00:00:00,0.0152,,2024-10-21 00:00:00,0.0105,"don't know why it went down so much?? recalibrated the scale and tried again, same results",2024-11-18 00:00:00,0.0137,,2025-01-24 00:00:00,0.0245,,,2025-03-24 00:00:00,0.0363,2025-05-13 00:00:00,0.0632,,,,
