Juv. RKC OA  Growth and Survival Exp. 2024,,,,,,,,,,,,,,,,,
pH and Temp data sheet,,,,,,,,,,,,,,,,,
Measure one insert each day,,,,,,,,,,,,,,,,,
,pH 7.55-A,,A- +3C,,pH 7.65- +3C,,pH 7.65-A,,pH 7.55- +3C,,pH 7.85- +3C,,A-A,,pH 7.85-A,,
,Tub 1,,Tub 2,,Tub 3,,Tub 4,,Tub 5,,Tub 6,,Tub 7,,Tub 8,,
Date,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,pH,Temp,
2024-08-21 00:00:00,7.52,11.5,7.88,15.2,7.62,14.9,7.66,11.6,7.53,14.5,7.77,14.5,7.9,11,7.79,11.4,"lowered 7.65 +3c temp by .04 & increased ph by .01, lowered treatment 2 temp by .07c"
2024-08-21 00:00:00,,,,,,,,,,,,,,,,,
2024-08-21 00:00:00,,,,,,,,,,,,,,,,,
2024-08-23 00:00:00,7.52,11.6,7.86,15.3,7.63,14.3,7.66,11.5,7.53,14.6,7.77,14.2,7.92,11.3,7.78,11.4,"decreased T2 temp by .08c, increased 7.85 treatments by .02"
2024-08-23 00:00:00,,,,,,,,,,,,,,,,,
2024-08-23 00:00:00,,,,,,,,,,,,,,,,,
2024-08-26 00:00:00,7.53,11.5,7.89,14.9,7.64,15.2,7.66,11.4,7.52,14.8,7.77,14.6,7.93,11.3,7.79,11.3,"increased 7.55 ph by.01, lowered amb, 3+ temp by .03c, lowered 7.65 +3c temp by .06c, increased 7.85 ph by .02"
2024-08-26 00:00:00,,,,,,,,,,,,,,,,,
2024-08-26 00:00:00,,,,,,,,,,,,,,,,,
2024-08-28 00:00:00,7.56,11.5,7.9,14,7.65,14.5,7.67,11.5,7.54,14.6,7.74,15.1,7.91,11.3,7.78,11.4,"increased 7.85 phs by .02, lowered temp of 7.85, +3c by 1.0c, increased temp on amb, +3c by .5"
8/29/24 water samples,7.56,11.3,7.89,14.1,7.67,14.3,7.68,11.3,7.56,14.5,7.74,13.2,7.92,11.4,7.76,11.3,
2024-08-30 00:00:00,7.56,11.5,7.89,13.7,7.65,13.4,7.68,11.4,7.57,13.3,7.78,12.9,7.92,11.3,7.74,11.4,"increased 7.85 by 0.1, 7.65 by 0.02, temp in amb up .2, 7.55 up .2, 7.85 up .4"
2024-09-03 00:00:00,7.56,11.7,7.88,14.6,7.63,14.1,7.65,11.6,7.59,13.9,7.83,13.5,7.92,11.4,7.86,11.5,"increased 7.85, +3c temps by .08c, lowered 7.55 ph by .02"
2025-09-04 00:00:00,7.55,11.6,7.87,15.9,7.62,15.6,7.65,11.3,7.52,15.3,7.79,15.4,7.92,11.4,7.86,11.5,lowered all +3c temps by 1.0c
2024-09-06 00:00:00,7.55,11.3,7.85,13.2,7.65,13.2,7.65,11.3,7.54,13.7,7.82,13.6,7.88,11.3,7.86,11.3,increased all +3C temps by 0.7 C
2024-09-09 00:00:00,7.52,11.1,7.83,14.7,7.62,14.5,7.65,11.2,7.51,15.2,7.79,15.3,7.84,11.1,7.83,11.2,lowered tub 5 and 6 temp by 0.5C
2024-09-11 00:00:00,7.55,11.1,7.83,15.2,7.64,14.3,7.64,11,7.5,14.5,7.81,14.5,7.88,10.9,7.85,10.9,"decreased tub 2 temp by 0.5 C, increased tub 5 and 6 PH by 0.01"
2024-09-13 00:00:00,7.56,10.8,7.85,13.5,7.63,13.4,7.64,10.7,7.58,13,7.83,13,7.86,10.7,7.85,10.7,"increased Tub 3 temp by o.1 C, increased tub 5 and 6 temp by 0.5 C"
2024-09-16 00:00:00,7.55,10.9,7.84,13.6,7.63,13.7,7.65,10.9,7.56,13.9,7.83,14.2,7.78,10.9,7.85,11,
2024-09-18 00:00:00,7.54,11,7.85,13.4,7.61,13.5,7.64,10.9,7.54,13.5,7.82,13.7,7.85,10.9,7.86,10.8,increased 7.65 pH by 0.01
2024-09-20 00:00:00,7.52,10.7,7.84,13.9,7.61,13.9,7.63,10.7,7.54,13.9,7.82,14.5,7.88,10.6,7.85,10.6,"lowered tub 6 temp by 0.5C, increased 7.65 ph by 0.01"
2024-09-23 00:00:00,7.57,10.6,7.86,13.2,7.61,13.9,7.64,10.6,7.58,14.1,7.83,14.4,7.86,10.5,7.86,10.4,increased 7.65 ph by 0.01
2024-09-24 00:00:00,,,,,,,,,,,7.82,14.8,7.88,10.1,7.87,10.3,ran water samples on 6-8
2024-09-25 00:00:00,7.56,10.2,7.85,12.7,7.62,12.8,7.65,10.2,7.52,12.9,7.84,13.2,7.89,10.1,7.88,10.1,"increased tub 2 temp 0.2 C, increased tub 3 temp 0.1 C"
2024-09-27 00:00:00,7.53,10,7.84,12.3,7.63,12.7,7.65,10,7.49,13.7,7.83,13.7,7.87,9.9,7.86,9.7,
2024-09-30 00:00:00,7.56,10.1,7.9,13.4,7.66,13.8,7.68,10.1,7.57,13.9,7.9,14.1,7.95,10,7.93,10,"decrease 7.65ph by 0.01, decrease 7.85ph by 0.02, decrease tub 3 and 5 temp by 0.2, tub 6 by 0.3"
2024-10-02 00:00:00,7.57,9.8,7.92,13.3,7.67,13,7.69,9.8,7.55,13.3,7.9,13.4,7.95,9.8,7.94,9.8,"decrease 7.65pH by 0.02, decrease 7. 85 pH by 0.03 - issue w/ theprobe in the head tank,Solved wl Meg and Chris (cleaned glass with qtip and rinsed with DI and alcohol,then dried and put cotton balls in top to keep dry)"
2024-10-04 00:00:00,7.57,10.2,7.9,13.3,7.62,13.3,7.65,10.2,7.56,13.7,7.87,13.6,7.95,10.1,7.91,10.1,lowered 7.85pH by 0.02
2024-10-07 00:00:00,7.56,9.8,7.85,12.3,7.6,12.1,7.62,9.8,7.53,13.6,7.81,14.4,7.9,9.6,7.85,9.6,"lowered tub 6 temp by 1, tub 5 by 0.5, raised tub 3 by 0.3, tub 2 by 0.2. increased 7.65ph by 0.02 and increased 7.85ph by 0.01"
2024-10-09 00:00:00,7.52,9.8,7.84,13,7.6,13.5,7.63,9.8,7.5,13.8,7.81,13,7.88,9.6,7.84,9.6,"increased 7.65ph and 7.55 by 0.02, 7.85ph by 0.01"
2024-10-11 00:00:00,7.54,9.4,7.86,12.6,7.63,13.2,7.66,9.4,7.55,13.4,7.81,13.3,7.89,9.4,7.85,9.4,
2024-10-15 00:00:00,7.52,9.5,7.84,12.7,7.61,12.9,7.65,9.5,7.53,13,7.78,13.9,7.85,9.5,7.82,9.4,"increase 7.55ph, 7.85ph by 0.02, increase 7.65ph by 0.01. decrease tub 5 and 6 temp by 0.5"
2024-10-16 00:00:00,7.57,9.4,7.85,12.1,7.65,11.8,7.66,9.3,7.53,12.3,7.79,12.9,7.87,9.3,7.83,9.2,increase 7.85ph by 0.02
2024-10-18 00:00:00,7.55,9,7.84,12.3,7.64,12.8,7.66,9,7.55,12.9,7.8,12.9,7.86,9,7.83,8.9,"turn temps down by 0.5F (all +3C tubs except tub 2), increase 7.85ph by 0.02"
2024-10-21 00:00:00,7.54,8.8,7.89,12.2,7.66,11.9,7.65,8.6,7.53,12.1,7.76,13.4,7.85,8.6,7.8,8.6,"lowered tub 6 temp by 0.5. Looking into how to adjust 7.85ph treatments, recalibrated probe in head tank and set R2 to 7.85"
2024-10-23 00:00:00,7.52,8.9,7.8,13.4,7.61,13.4,7.64,8.6,7.51,14.2,7.77,13.9,7.85,8.4,7.82,8.5,"increased 7.55 ph by .02 and 7.65 ph by .02 and 7.85 by .03, lowered all +3c temps by 1c"
2024-10-25 00:00:00,7.57,8.5,7.84,11.5,7.68,11.5,7.69,8.4,7.56,11.5,7.82,12.5,7.86,8.4,7.85,8.4,decrease 7.65ph by 0.02
2024-10-28 00:00:00,7.59,8.5,7.84,11.3,7.65,11.4,7.66,8.4,7.56,12.3,7.82,12.3,7.86,8.3,7.86,8.3,
