experiment,treatment_pH,treatment_temp,mean_pH,sd_pH,mean_temp_C,sd_temp_C,source
2010-2011,ambient,ambient,8.04,0.04,9.1,2,Long et al. 2013 Table 1 / Results
2010-2011,pH 7.5,ambient,7.503,0.04,9.1,2,Long et al. 2013 Table 1 / Results
2010-2011,pH 7.8,ambient,7.802,0.025,9.1,2,Long et al. 2013 Table 1 / Results
2012-2013,ambient,+2C,7.962336956521739,0.027821706375328843,10.215760869565218,1.8981790144555546,33529_RACE_2012-2013_daily pH temp.xlsx
2012-2013,ambient,+4C,7.935851449275362,0.03066555253105765,12.219384057971014,1.814300571709284,33529_RACE_2012-2013_daily pH temp.xlsx
2012-2013,ambient,ambient,7.992173913043478,0.029144593917405665,8.380615942028985,1.8769667316071132,33529_RACE_2012-2013_daily pH temp.xlsx
2012-2013,pH 7.8,+2C,7.760851449275362,0.015543179890815058,10.358152173913044,1.9821685281183559,33529_RACE_2012-2013_daily pH temp.xlsx
2012-2013,pH 7.8,+4C,7.7443114754098366,0.014910666280704098,12.302185792349727,1.8944028042703998,33529_RACE_2012-2013_daily pH temp.xlsx
2012-2013,pH 7.8,ambient,7.7876811594202895,0.015135406889025586,8.54981884057971,1.9238855810555433,33529_RACE_2012-2013_daily pH temp.xlsx
2024-2025,ambient,+3C,7.884603174603175,0.06075064830799146,10.284920634920635,2.062118035819191,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,ambient,ambient,7.878983050847458,0.030039911110011107,8.525423728813559,2.0747740400723815,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,pH 7.55,+3C,7.539296875,0.031477615937648605,10.40234375,2.0916205089227957,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,pH 7.55,ambient,7.557301587301588,0.03260460577066258,7.431746031746032,1.9212350525076638,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,pH 7.65,+3C,7.651782945736434,0.028296687427680413,10.169767441860465,2.061424138003673,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,pH 7.65,ambient,7.673023255813954,0.03200597237144748,7.415503875968993,1.9174955024557385,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,pH 7.85,+3C,7.852384615384615,0.09608461908674415,10.344615384615384,2.249894451907182,NEW Juv RKC 2024 pH and Temp.xlsx
2024-2025,pH 7.85,ambient,7.880076923076923,0.05196146684775926,7.408527131782946,1.9127055039815293,NEW Juv RKC 2024 pH and Temp.xlsx
