experiment,treatment_pH,treatment_temp,crab_id,molt_num,date,exp_day,wet_mass_g
2010-2011,ambient,ambient,2010_ambient_c02,0,NA,2,0.0095
2010-2011,ambient,ambient,2010_ambient_c02,1,NA,62,0.0094
2010-2011,ambient,ambient,2010_ambient_c02,2,NA,99,0.0128
2010-2011,ambient,ambient,2010_ambient_c02,3,NA,148,0.012
2010-2011,ambient,ambient,2010_ambient_c03,0,NA,58,0.0102
2010-2011,ambient,ambient,2010_ambient_c03,1,NA,95,0.0142
2010-2011,ambient,ambient,2010_ambient_c03,2,NA,133,0.0169
2010-2011,ambient,ambient,2010_ambient_c05,0,NA,5,0.0088
2010-2011,ambient,ambient,2010_ambient_c05,1,NA,63,0.0089
2010-2011,ambient,ambient,2010_ambient_c05,2,NA,93,0.0122
2010-2011,ambient,ambient,2010_ambient_c05,3,NA,133,0.0158
2010-2011,ambient,ambient,2010_ambient_c06,0,NA,2,0.0121
2010-2011,ambient,ambient,2010_ambient_c06,1,NA,58,0.0126
2010-2011,ambient,ambient,2010_ambient_c06,2,NA,93,0.0172
2010-2011,ambient,ambient,2010_ambient_c06,3,NA,136,0.0228
2010-2011,ambient,ambient,2010_ambient_c07,0,NA,2,0.0177
2010-2011,ambient,ambient,2010_ambient_c07,1,NA,60,0.0131
2010-2011,ambient,ambient,2010_ambient_c07,2,NA,102,0.0158
2010-2011,ambient,ambient,2010_ambient_c07,3,NA,155,0.0198
2010-2011,ambient,ambient,2010_ambient_c08,0,NA,2,0.0085
2010-2011,ambient,ambient,2010_ambient_c08,1,NA,57,0.0104
2010-2011,ambient,ambient,2010_ambient_c08,2,NA,91,0.0124
2010-2011,ambient,ambient,2010_ambient_c08,3,NA,128,0.0155
2010-2011,ambient,ambient,2010_ambient_c08,4,NA,183,0.0255
2010-2011,ambient,ambient,2010_ambient_c10,0,NA,5,0.0098
2010-2011,ambient,ambient,2010_ambient_c10,1,NA,60,0.0108
2010-2011,ambient,ambient,2010_ambient_c10,2,NA,105,0.013
2010-2011,ambient,ambient,2010_ambient_c10,3,NA,146,0.014
2010-2011,ambient,ambient,2010_ambient_c12,0,NA,3,0.0115
2010-2011,ambient,ambient,2010_ambient_c12,1,NA,59,0.0108
2010-2011,ambient,ambient,2010_ambient_c12,2,NA,95,0.013
2010-2011,ambient,ambient,2010_ambient_c12,3,NA,127,0.0203
2010-2011,ambient,ambient,2010_ambient_c12,4,NA,173,0.0328
2010-2011,ambient,ambient,2010_ambient_c13,0,NA,3,0.0116
2010-2011,ambient,ambient,2010_ambient_c13,1,NA,63,0.0101
2010-2011,ambient,ambient,2010_ambient_c13,3,NA,128,0.0187
2010-2011,ambient,ambient,2010_ambient_c13,4,NA,170,0.0312
2010-2011,ambient,ambient,2010_ambient_c14,0,NA,5,0.0095
2010-2011,ambient,ambient,2010_ambient_c14,1,NA,60,0.0109
2010-2011,ambient,ambient,2010_ambient_c14,2,NA,96,0.0162
2010-2011,ambient,ambient,2010_ambient_c14,3,NA,131,0.0209
2010-2011,ambient,ambient,2010_ambient_c16,0,NA,15,0.0055
2010-2011,ambient,ambient,2010_ambient_c16,1,NA,72,0.0092
2010-2011,ambient,ambient,2010_ambient_c16,2,NA,112,0.01
2010-2011,ambient,ambient,2010_ambient_c16,3,NA,158,0.0134
2010-2011,ambient,ambient,2010_ambient_c17,0,NA,1,0.0064
2010-2011,ambient,ambient,2010_ambient_c17,1,NA,60,0.0097
2010-2011,ambient,ambient,2010_ambient_c17,2,NA,101,0.0095
2010-2011,ambient,ambient,2010_ambient_c19,0,NA,54,0.0118
2010-2011,ambient,ambient,2010_ambient_c19,1,NA,93,0.0147
2010-2011,ambient,ambient,2010_ambient_c19,2,NA,129,0.02
2010-2011,ambient,ambient,2010_ambient_c22,0,NA,5,0.0097
2010-2011,ambient,ambient,2010_ambient_c22,1,NA,65,0.0114
2010-2011,ambient,ambient,2010_ambient_c22,2,NA,101,0.016
2010-2011,ambient,ambient,2010_ambient_c22,3,NA,146,0.0156
2010-2011,ambient,ambient,2010_ambient_c23,1,NA,60,0.0124
2010-2011,ambient,ambient,2010_ambient_c23,2,NA,91,0.0202
2010-2011,ambient,ambient,2010_ambient_c23,3,NA,125,0.0223
2010-2011,ambient,ambient,2010_ambient_c23,4,NA,186,0.0377
2010-2011,ambient,ambient,2010_ambient_c24,0,NA,2,0.0123
2010-2011,ambient,ambient,2010_ambient_c24,1,NA,66,0.016
2010-2011,ambient,ambient,2010_ambient_c24,3,NA,163,0.0212
2010-2011,ambient,ambient,2010_ambient_c25,0,NA,2,0.0085
2010-2011,ambient,ambient,2010_ambient_c25,1,NA,55,0.013
2010-2011,ambient,ambient,2010_ambient_c25,2,NA,85,0.0165
2010-2011,ambient,ambient,2010_ambient_c25,3,NA,111,0.0222
2010-2011,ambient,ambient,2010_ambient_c26,0,NA,2,0.0089
2010-2011,ambient,ambient,2010_ambient_c26,1,NA,69,0.0115
2010-2011,ambient,ambient,2010_ambient_c26,2,NA,104,0.0152
2010-2011,ambient,ambient,2010_ambient_c26,3,NA,136,0.0207
2010-2011,ambient,ambient,2010_ambient_c26,4,NA,159,0.033
2010-2011,ambient,ambient,2010_ambient_c27,0,NA,1,0.0107
2010-2011,ambient,ambient,2010_ambient_c27,1,NA,55,0.0113
2010-2011,ambient,ambient,2010_ambient_c27,2,NA,88,0.0202
2010-2011,ambient,ambient,2010_ambient_c27,3,NA,111,0.0256
2010-2011,ambient,ambient,2010_ambient_c27,4,NA,148,0.0443
2010-2011,ambient,ambient,2010_ambient_c28,0,NA,5,0.0072
2010-2011,ambient,ambient,2010_ambient_c28,1,NA,47,0.0096
2010-2011,ambient,ambient,2010_ambient_c28,2,NA,72,0.0153
2010-2011,ambient,ambient,2010_ambient_c28,3,NA,105,0.0196
2010-2011,ambient,ambient,2010_ambient_c28,4,NA,145,0.0256
2010-2011,ambient,ambient,2010_ambient_c29,0,NA,1,0.0105
2010-2011,ambient,ambient,2010_ambient_c29,1,NA,60,0.0134
2010-2011,ambient,ambient,2010_ambient_c29,2,NA,95,0.0235
