model,parameter,median,lower,upper
Model A (no mass),b_log_day,1.978,1.937,2.02
Model A (no mass),b_experiment2012M2013,0.004,-1.397,1.374
Model A (no mass),b_pH_c,-4.047,-7.457,-0.074
Model A (no mass),b_temp_c,0.2,-0.448,0.878
Model A (no mass),b_pH_c:temp_c,0.774,-2.688,4.179
Model A (with mass),b_log_day,1.978,1.937,2.021
Model A (with mass),b_experiment2012M2013,-0.588,-5.086,4.277
Model A (with mass),b_pH_c,-4.156,-7.875,0.335
Model A (with mass),b_temp_c,0.204,-0.447,0.901
Model A (with mass),b_pH_c:temp_c,0.783,-2.452,4.349
Model A (with mass),b_log_mass_c,0.888,-6.288,7.27
Model B (no mass),b_log_day,1.978,1.939,2.015
Model B (no mass),b_experiment2012M2013,-0.089,-1.468,1.251
Model B (no mass),b_experiment2024M2025,-2.847,-4.041,-1.618
Model B (no mass),b_pH_c,-3.001,-6.24,0.389
Model B (no mass),b_temp_c,-0.106,-0.686,0.476
Model B (no mass),b_pH_c:temp_c,-0.691,-2.921,1.52
Model B (with mass),b_log_day,1.977,1.94,2.014
Model B (with mass),b_experiment2012M2013,0.198,-3.392,3.675
Model B (with mass),b_experiment2024M2025,-2.831,-4.076,-1.569
Model B (with mass),b_pH_c,-2.953,-6.284,0.644
Model B (with mass),b_temp_c,-0.091,-0.672,0.494
Model B (with mass),b_pH_c:temp_c,-0.671,-2.917,1.587
Model B (with mass),b_log_mass_c,-0.445,-5.379,4.54
