tank,experiment,treatment_pH,treatment_temp,mean_pH,mean_temp_C,rate,.lower,.upper,.width,.point,.interval
2012-2013 | pH 7.8 | ambient,2012-2013,pH 7.8,ambient,7.7876811594202895,8.54981884057971,0.0027100954408975464,0.0020469416033236094,0.003363460655100868,0.95,median,qi
2012-2013 | ambient | ambient,2012-2013,ambient,ambient,7.992173913043478,8.380615942028985,0.002966955251341239,0.00213287475682368,0.003787342114745559,0.95,median,qi
2012-2013 | pH 7.8 | +2C,2012-2013,pH 7.8,+2C,7.760851449275362,10.358152173913044,0.003203776194461625,0.002607841720379817,0.0038022713697915917,0.95,median,qi
2012-2013 | ambient | +2C,2012-2013,ambient,+2C,7.962336956521739,10.215760869565218,0.0037020971050260474,0.003096166331966091,0.00427961871531461,0.95,median,qi
2012-2013 | pH 7.8 | +4C,2012-2013,pH 7.8,+4C,7.7443114754098366,12.302185792349729,0.003707200684899448,0.0029421939765807204,0.004492807213365907,0.95,median,qi
2012-2013 | ambient | +4C,2012-2013,ambient,+4C,7.935851449275362,12.219384057971014,0.004443339026818465,0.0035443779129740224,0.005335724108739895,0.95,median,qi
2010-2011 | pH 7.8 | ambient,2010-2011,pH 7.8,ambient,7.802,9.1,0.00515110025779268,0.004244445326655467,0.006012931312358919,0.95,median,qi
2024-2025 | pH 7.55 | ambient,2024-2025,pH 7.55,ambient,7.557301587301588,7.431746031746032,0.005210586445332463,0.004510670122283853,0.005900181592181205,0.95,median,qi
2024-2025 | pH 7.65 | ambient,2024-2025,pH 7.65,ambient,7.673023255813954,7.415503875968993,0.005316072363633953,0.004809779308238036,0.005807531317638114,0.95,median,qi
2024-2025 | pH 7.85 | ambient,2024-2025,pH 7.85,ambient,7.880076923076923,7.408527131782946,0.005497177045713023,0.004761527497991394,0.006221826262285483,0.95,median,qi
2010-2011 | ambient | ambient,2010-2011,ambient,ambient,8.04,9.1,0.005613005250665246,0.004740792193408865,0.006446079011688918,0.95,median,qi
2024-2025 | pH 7.55 | +3C,2024-2025,pH 7.55,+3C,7.539296875,10.40234375,0.005654387500360885,0.004951090614803124,0.006341432822040859,0.95,median,qi
2024-2025 | ambient | ambient,2024-2025,ambient,ambient,7.878983050847458,8.525423728813559,0.005905764161087658,0.005353795400530357,0.006440626859890353,0.95,median,qi
2024-2025 | pH 7.65 | +3C,2024-2025,pH 7.65,+3C,7.651782945736434,10.169767441860465,0.0059169633985369985,0.0054540939391228985,0.006372677488452906,0.95,median,qi
2024-2025 | pH 7.85 | +3C,2024-2025,pH 7.85,+3C,7.852384615384615,10.344615384615384,0.006507402823206734,0.006040670265585537,0.006969333483876057,0.95,median,qi
2024-2025 | ambient | +3C,2024-2025,ambient,+3C,7.884603174603175,10.284920634920637,0.006574328207741462,0.006064031612045576,0.007075312785752627,0.95,median,qi
